Job_ID,Job_Title,Role_Category,Company_Name,Job_Type,Skills_Required
J12,Data Analytics & Insights Intern,Data Analytics,Sleek,Internship,"SQL, Excel, Google Sheets, Tableau, Data Analysis, Dashboarding, Revenue Analytics, Funnel Analysis, Marketing Analytics, Propensity Modeling, Statistics, Data Documentation"
J13,Python AI/ML Intern,AI / ML,Durapid Technologies,Internship,"Python, Machine Learning, Data Cleaning, Data Preprocessing, Model Building, Model Validation, AI/ML Fundamentals"
J14,AI / ML Intern,AI / ML,Oneture Technologies,Internship,"Python, Machine Learning, Data Cleaning, Data Preprocessing, Feature Engineering, Model Evaluation, NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, Recommendation Systems, SQL, Cloud Platforms"
J15,Data Scientist,Data Science,Cisco,Entry-level / Full-time,"Python, SQL, Data Analysis, Data Cleaning, Predictive Modeling, Machine Learning, Clustering, Classification, Statistics, Big Data (Hadoop, Spark), Cassandra, Data Visualization, Tableau"
J16,Associate – Business Analyst / Data Scientist,Data Science,EXL,Entry-level / Full-time,"SQL, Python, Pandas, Scikit-learn, Data Cleaning, Data Preprocessing, Machine Learning, Credit Risk Modeling, Scorecards, Predictive Modeling, Model Validation, Backtesting, Statistics"
J17,Associate Data Scientist,Data Science,Infosys,Entry-level / Full-time,"Python, R, SQL, Machine Learning, Statistical ML, Deep Learning, Neural Networks, Model Ensembling, Generative AI, NLP, Computer Vision, Reinforcement Learning, AutoML, Model Deployment, Model Fine-tuning, Responsible AI, Cloud Platforms (AWS, Azure, GCP), Model Quantization, Pruning"
J18,Data Scientist – Artificial Intelligence,Data Science,IBM,Entry-level / Full-time,"Python, R, SQL, Data Cleaning, Data Analysis, Machine Learning, Predictive Modeling, Prescriptive Modeling, Statistics, Pandas, Scikit-learn, TensorFlow, PyTorch, Keras, Hugging Face, Big Data, PySpark, Data Visualization, Model Validation, Agile, Cloud Platforms"
J19,Data Scientist,Data Science,PayPal,Entry-level / Full-time,"Python, R, SQL, Data Analysis, Data Cleaning, Statistics, Predictive Modeling, Regression, Classification, Time Series Forecasting, NLP, Machine Learning, Data Quality, Tableau, Power BI, Reporting, Stakeholder Management"
J20,Associate Data Scientist,Data Science,Anko GCC,Entry-level / Full-time,"Python, SQL, Statistics, Probability, Hypothesis Testing, Data Extraction, Data Manipulation, Data Handling"
J21,Data Scientist,Data Science,GoTo Group (Gojek),Entry-level / Full-time,"Python, SQL, Statistics, Data Analysis, Machine Learning, Experiment Design, Hypothesis Testing, Data Manipulation, Model Deployment, Data Visualization, Business Insights, Technical Documentation"
J22,Junior Data Scientist,Data Science,Nestlé,Full-time,"Python, PySpark, Time Series Forecasting, Statistical Modeling, Machine Learning, Demand Forecasting, Backtesting, Model Monitoring, Azure, Snowflake, Databricks, Data Analysis"
J23,Applied Scientist I – Machine Learning & AI,Data Science,Amazon (Amazon Music),Full-time,"Python, SQL, Machine Learning, Supervised Learning, Unsupervised Learning, NLP, Computer Vision, Optimization, Data Analysis, Model Training, Model Evaluation, Experimentation, Data Pipelines, Model Deployment, Java, C++"
J24,Data Scientist – I,Data Science,Purplle,Full-time,"Python, SQL, Machine Learning, A/B Testing, Statistics, Recommendation Systems, Forecasting, Data Visualization, Tableau/Power BI, Big Data (Spark/Hadoop), Cloud (AWS/GCP/Azure)"
J25,AI/ML Engineer – Intern,AI/ML,EMO.energy,Internship,"Python, Machine Learning, Regression, Boosting, MLP, Time-Series Analysis, Feature Engineering, Pandas, NumPy, Scikit-learn, Data Visualization, Cloud AI APIs"
J26,AI/ML (LLMs & Agent Systems) Intern,AI/ML,Big AIR Lab (IAI Solution Pvt Ltd),Internship,"LLMs, RAG, Agentic AI, Prompt Engineering, API Integration, Databases, AI Agents, Model Evaluation, Prototyping, Research, Backend Collaboration"
J27,AI/ML Engineer,AI/ML,The NineHertz,Full-time,"Agentic AI, LLM Fine-tuning, Inferencing, LangChain, LangGraph, AutoGen, CrewAI, Cloud AI, GenAI Deployment, Model Optimization, AI Pipelines"
J28,Machine Learning Force Fields Developer,AI/ML,Schrödinger,Full-time,"PyTorch, Machine Learning Force Fields, ML Fine-tuning, Model Deployment, GPU Computing, CUDA, Python, C++, HPC, Computational Chemistry, Molecular Dynamics, Cloud Computing, Databases"
J29,AI / ML Engineer,AI/ML,Navtech,Full-time,"Python, Scikit-learn, TensorFlow, PyTorch, NLP, GenAI, LLM Prompting, Feature Engineering, Model Deployment, MLOps, MLflow, Docker, FastAPI, AWS/Azure/GCP"
J30,Machine Learning Intern,AI/ML,HyperWorks Imaging,Internship,"Python, PyTorch, TensorFlow, Generative AI, AI Agents, Model Context Protocol (MCP), DsPy, MLOps, Deep Learning, ML Pipelines, Cloud Workflows"
